Date,Symbol,High,Low,Open,Close,PP,R1,S1,R2,S2,Breakout_R1
2023-06-09,HCLTECH.NS,1131.0,1105.95,1129.1,1109.75,1138.8666666666668,1153.3333333333335,1122.5833333333335,1169.6166666666668,1108.1166666666668,False
2023-06-12,HCLTECH.NS,1140.95,1111.5,1112.95,1139.65,1121.3999999999999,1136.8499999999997,1094.2999999999997,1163.9499999999998,1078.85,False
2023-06-13,HCLTECH.NS,1144.95,1129.3,1144.95,1131.3,1121.3999999999999,1136.8499999999997,1094.2999999999997,1163.9499999999998,1078.85,False
2023-06-14,HCLTECH.NS,1138.4,1126.05,1138.0,1135.85,1121.3999999999999,1136.8499999999997,1094.2999999999997,1163.9499999999998,1078.85,False
2023-06-15,HCLTECH.NS,1147.0,1136.55,1140.0,1143.6,1121.3999999999999,1136.8499999999997,1094.2999999999997,1163.9499999999998,1078.85,True
2023-06-16,HCLTECH.NS,1154.25,1132.45,1150.0,1148.2,1121.3999999999999,1136.8499999999997,1094.2999999999997,1163.9499999999998,1078.85,False
2023-06-19,HCLTECH.NS,1153.9,1135.45,1148.2,1137.55,1137.9833333333333,1164.4666666666667,1121.7166666666667,1180.7333333333333,1095.2333333333333,False
2023-06-20,HCLTECH.NS,1170.75,1132.5,1133.0,1168.65,1137.9833333333333,1164.4666666666667,1121.7166666666667,1180.7333333333333,1095.2333333333333,False
2023-06-21,HCLTECH.NS,1175.7,1161.65,1175.0,1170.45,1137.9833333333333,1164.4666666666667,1121.7166666666667,1180.7333333333333,1095.2333333333333,False
2023-06-22,HCLTECH.NS,1170.45,1158.85,1170.15,1163.4,1137.9833333333333,1164.4666666666667,1121.7166666666667,1180.7333333333333,1095.2333333333333,False
2023-06-23,HCLTECH.NS,1170.55,1151.0,1161.9,1165.15,1137.9833333333333,1164.4666666666667,1121.7166666666667,1180.7333333333333,1095.2333333333333,False
2023-06-26,HCLTECH.NS,1175.95,1163.05,1167.25,1167.5,1157.7833333333333,1183.0666666666666,1139.8666666666666,1200.9833333333333,1114.5833333333333,False
2023-06-27,HCLTECH.NS,1174.45,1160.2,1167.0,1170.0,1157.7833333333333,1183.0666666666666,1139.8666666666666,1200.9833333333333,1114.5833333333333,False
2023-06-28,HCLTECH.NS,1173.95,1166.5,1173.45,1170.25,1157.7833333333333,1183.0666666666666,1139.8666666666666,1200.9833333333333,1114.5833333333333,False
2023-06-30,HCLTECH.NS,1194.0,1165.0,1170.35,1187.95,1157.7833333333333,1183.0666666666666,1139.8666666666666,1200.9833333333333,1114.5833333333333,False
2023-07-03,HCLTECH.NS,1195.0,1174.5,1190.0,1181.6,1180.7166666666665,1201.233333333333,1167.433333333333,1214.5166666666664,1146.9166666666665,False
2023-07-04,HCLTECH.NS,1193.0,1178.55,1182.0,1190.6,1180.7166666666665,1201.233333333333,1167.433333333333,1214.5166666666664,1146.9166666666665,False
